YEAR,PLAYERID,NAMElast,NAMEfirst,TEAM,LG,AVG,OBP,SLG,EXP,PAYR,MLAVG,MLOBP,MLSLG,AVGcumLag1,OBPcumLag1,SLGcumLag1,G,YRINDEX
1994,gonzaju03,Gonzalez,Juan,TEX,AL,0.275,0.33,0.472,6,447,0.275,0.345,0.434,0.274,0.326,0.535,107,36
1994,kentje01,Kent,Jeff,NYN,NL,0.292,0.341,0.475,3,568,0.275,0.345,0.434,0.258,0.317,0.439,107,36
2002,nevinph01,Nevin,Phil,SDN,NL,0.285,0.344,0.413,8,384,0.266,0.337,0.426,0.273,0.349,0.498,107,44
1981,oglivbe01,Oglivie,Ben,ML4,AL,0.243,0.31,0.395,10,438,0.26,0.325,0.377,0.28,0.336,0.475,107,23
1994,piazzmi01,Piazza,Mike,LAN,NL,0.319,0.37,0.541,3,503,0.275,0.345,0.434,0.308,0.361,0.534,107,36
1981,rosepe01,Rose,Pete,PHI,NL,0.325,0.391,0.39,19,659,0.26,0.325,0.377,0.31,0.38,0.428,107,23
1994,sandere02,Sanders,Reggie,CIN,NL,0.263,0.332,0.48,3,481,0.275,0.345,0.434,0.269,0.343,0.444,107,36
1994,bellde01,Bell,Derek,SDN,NL,0.311,0.354,0.454,3,506,0.275,0.345,0.434,0.253,0.308,0.393,108,36
1994,bonilbo01,Bonilla,Bobby,NYN,NL,0.29,0.374,0.504,9,516,0.275,0.345,0.434,0.277,0.356,0.474,108,36
1970,clemero01,Clemente,Roberto,PIT,NL,0.352,0.407,0.556,12,578,0.264,0.337,0.404,0.326,0.371,0.493,108,12
1981,evansdw01,Evans,Dwight,BOS,AL,0.296,0.415,0.522,10,526,0.26,0.325,0.377,0.262,0.344,0.448,108,23
1981,fostege01,Foster,George,CIN,NL,0.295,0.373,0.519,11,488,0.26,0.325,0.377,0.285,0.354,0.511,108,23
1981,henderi01,Henderson,Rickey,OAK,AL,0.319,0.408,0.437,3,533,0.26,0.325,0.377,0.292,0.392,0.376,108,23
1994,murraed02,Murray,Eddie,CLE,AL,0.254,0.302,0.425,18,610,0.275,0.345,0.434,0.29,0.364,0.483,108,36
1994,puckeki01,Puckett,Kirby,MIN,AL,0.317,0.362,0.54,11,651,0.275,0.345,0.434,0.318,0.358,0.469,108,36
1981,riceji01,Rice,Jim,BOS,AL,0.284,0.333,0.441,8,566,0.26,0.325,0.377,0.307,0.356,0.545,108,23
1987,riceji01,Rice,Jim,BOS,AL,0.277,0.357,0.408,14,566,0.268,0.337,0.425,0.303,0.355,0.518,108,29
2002,rodriiv01,Rodriguez,Ivan,TEX,AL,0.314,0.353,0.542,12,514,0.266,0.337,0.426,0.304,0.341,0.485,108,44
